WKI_WorkItemNumber,WKI_Status,WKI_Summary,WKI_SystemCreateTimeUtc,FH_CompletionStatement,P9_Status,P9_ActualDate,P9_Description,P9_Type,CodingTime,details,Classification,Explanation,product_area_raw,product_area_canonical,product_candidate,feature_description
WI00961785,CLS,[Sch Change] Distribute ACC-Type loco map,10-09-2025 4:19,Publish,CLS,22-09-2025,Publish Update Note,DEP,3.366666667,"TV 10-Sep-25 14:16 GMT+10:00:   For Acc-Type Locomap, we should not distribute this data to CW systems who do not support this type.  CW systems do not supprt this type is versioned in HYPERLINK ""https://ediprod.cw.wisetechglobal.com/link/ShowEditForm/WorkItem/b71cf132-bcfd-4621-9aa3-2c6f579df5d1?lang=en-gb"" WI00959536 - Bumping versions for Acc Loco Map ",,,,,[Sch Change] Distribute ACC,Type loco map
WI00840468,CLS,AM:(DO) Enable DOT service task and Update Registry items,09-12-2024 0:27,Publish,CLS,10-03-2025,Publish Update Note,DEP,39.95,"LGN 12-Feb-25 11:32 GMT+11:00:   Following recent discussions, it has been determined that DOT is not currently enabled on non-dbo schemas and therefore test cases addressing this functionality (as suggested by Andy in the preceding comment) will not be included in the changes of this work item.    AY2 12-Dec-24 09:36 GMT+11:00:   Whoever picks up this WI - it'd be a good place to do more testing for DOT subscriber to avoid a repeat of the board channel deletion CR.    Check cases such as:  Two tables with the same name in different schemas (unknown if this can even occur, check with Stephen from BI - staff code STE)  Table with the same PK name but different name (e.g. client specific table, again unknown if this can even occur, might want to check with STE)  Anything else you can think of    I've looked through code and checked the second case myself - but more testing can't hurt.    BDS 10-Dec-24 15:22 GMT+11:00:   Done Statement:   DOT Service task has been activated by default.   Registry item System > Archive Manager > Is Required for Delete Orphan Subscriber has been exposed to customers and default switched to YES ",,,AM,Archive Manager,(DO) Enable DOT service task and Update Registry items,
WI00937879,CLS,7501 - Add melt/pour/smelt fields per CBP updates to the form,15-07-2025 16:43,Publish,CLS,31-10-2025,Publish Update Note,DEP,40.2,"See eDocs        1)What is the business impact?  Local, America Customs     2)Based on the business impact, what is the appropriate criticality in order to deliver the patch in a timely manner?  CR8     3)What are the conditions under which the defect is reproduced?  Not a defect; it's a compliance requirement: CBP has updated the 7501 form revision number and expiration date and added some new fields     4)Is there a workaround?  Document it and provide clear information. Refer to America Customs Teams Chat     5)Provide the standard response that you wish our customer to receive for this issue, referencing the WTA links that may be required by the customers.  Thank you for submitting this request with us. Our team is working on a development work for meeting the compliance requirement.   Kind regards ",,,,,7501,Add melt/pour/smelt fields per CBP updates to the form
WI00899481,CLS,CN - Display Accounting Journal Number on AR/AP GL Posting Report,21-04-2025 8:24,Publish,CLS,03-07-2025,Publish Update Note,DEP,9.716666667,"JYW 09-Jun-25 17:49 GMT+10:00:     HYPERLINK ""edient:Command=ShowStorageDoc&BusinessEntityPK=3c35ef6e-ea48-4921-a98d-5ce637523d51&StorageDocPK=104e0c69-c08c-4565-b1ac-792df3596a60&Domain=wtg.zone&Instance=ediProd&Hash=%2bWwyEMi05UKYTd8tR1B9%2byjInUKnLgTIV"" JYW 09-Jun-25 17:49:  File PRJ00051020 - HLD_Update 20250527.xlsx (High Level Design)",,,,,CN,Display Accounting Journal Number on AR/AP GL Posting Report
WI00926703,CLS,INV LINES REPORT TTB,23-06-2025 14:56,Publish,CLS,05-11-2025,Publish Update Note,DEP,122.4166667,see eDocs.,,,,,INV LINES REPORT TTB,
WI00894848,CLS,eTail V2. XUS Consignment reader finds existing OrgAddress,09-04-2025 7:08,Publish,CLS,30-05-2025,Publish Update Note,DEP,20.55,"BACKGROUND:  Currently the Registry settings under Master Data > Organisations > UXML Organisation Matching are not applied to the HVLV Consignments module.    DONE:  1. When reading XUS into HVLVConsignment, if OrganizationAddress.AddressOverride = false or AddressOverride is not specified, reader tries to find existing OrgAddress in the system and assign it to the HVLVConsignment Consignee/Shipper/ReturnLocation party if the confidence is higher for the following thresholds set in the registry settings under Master Data > Organizations > UXML Organisation Matching  2. HVLV Consignments module is added to registry setting Master Data > Organisations > UXML Organisation Matching > Unmatched Organisation Configuration  (see comment in HLD)  Refer to HYPERLINK ""https://wisetechacademy.com/search?quickstart=7a6c66b8-9e6e-4d65-a7c4-0b701fd5d836"" CargoWiseOneUpdateNote20190128 (New engine to match Universal XML imports to organization records in your system)  ",,,,,eTail V2. XUS Consignment reader finds existing OrgAddress,
WI00832017,CLS,"CPW: Hide the ""Removed Commodities"" tab for Consols",19-11-2024 3:12,Publish,CLS,07-02-2025,Publish Update Note,DEP,7.583333333,"JT3 19-Nov-24 14:09 GMT+11:00:     Problem Summary:  In Alpha, when a Shipment attached to a Consol, has commodity lines removed after its compliance assessment has been initiated, the removed commodity lines appear in the ""Removed Commodities"" tab of the Shipment, but not the Consol.   Therefore there is no scenario where the ""Removed Commodities"" tab of a Consol will have any entries.    Solution:  Hide the ""Removed Commodities"" tab in Consols    DONE Statement:  The Compliance Logs of a Consol does not have a ""Removed Commodities"" tab    ",major,New or updated regulatory framework,CPW,ComplianceWise,"Hide the ""Removed Commodities"" tab for Consols",
WI00941179,CLS,[EAD] Targeting a Branch for Universal Shipment using Recipient Role Org address,23-07-2025 7:23,Publish,CLS,30-10-2025,Publish Update Note,DEP,31.56666667,"ADP 23-Jul-25 17:19 GMT+10:00:   When importing a Universal Shipment, there are a series of fallbacks to select the Branch that is used when processing the XML content.  This serie of fallbacks are described in the eAdaptor Developer Guide (5.1.5.2 – Targeting a Branch)   For E2E there is only one option before final default scenario. This option though, is limited to the use of a mapping between ‘Recipients Role’ with ‘Matching Ports’.     So, E2E users do not have a solution to match the ’Recipient‘ OrganizationAddress to a Branch Org Proxy. That is why, we are now introducing a new fallback option to solve this problem.    XC 28-Jul-25 16:01 GMT+10:00:   all the recent CR6 requesting this are in related items  in addition to the HLD doc  a simple flow to demonstrate the added logic is in eDoc    J30 19-Aug-25 16:20 GMT+10:00:   Steps:   1 Find Recipient Role's mapped organization address  2 Find the branch by organization address. (The logic is the same as the logic in option2 and option3. But we need add addtional ports checking logic which is in the document, but missed in the code before )  spike code:  https://github.com/WiseTechGlobal/CargoWise/pull/9659    J30 27-Aug-25 16:57 GMT+10:00:   As confirmed with Prod team, no need return the first branch when multiple branchs found:  when there are multiple branchs found or no branch found through home port, go to check addtional port;   when there are multiple branchs found or no branch found through addtional ports, go to next option;      J30 16-Oct-25 15:11 GMT+11:00:   As discussed with Christina, revise the sequence as below:    1.    Match using the Branch.Code element from the Universal Shipment  2.    Match the ’Recipient‘ OrganizationAddress to a Branch Org Proxy (If muliple branches found in the Org Proxy, use home port to filter )  3     Match the Recipient Role's mapped organization address  to a Branch Org Proxy (If muliple branches found in the Org Proxy, use home port to filter )  4.    Match the ’Recipient‘ OrganizationAddress Port to a Branch Port/Additional Related Port  5.    Match the Recipient Role's mapped organization address Port to a Branch Port/Additional Related Port  6.    Match using a Recipient Role and Port Code Match  7.    Default to the first branch of the target Company",,,,,[EAD] Targeting a Branch for Universal Shipment using Recipient Role Org address,
WI00879933,CLS,"EU ICS2 - Declarant, Carrier as Related Parties on Organization",07-03-2025 14:07,Publish,CLS,24-10-2025,Publish Update Note,DEP,38.53333333,"KMU 07-Mar-25 15:07 GMT+02:00:     SPE:  https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentCustomsTeam/EVp-YbYoPDtIhndoPvWiHAcBw3bZ1-m77X6Ka2XUlzM3ZQ?e=7NhW6l    UPN:  HYPERLINK ""https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentCustomsTeam/ET8fkV1rYv9Imy9OrzO__kEBLMmOjbCjgGyB0pOkuI-vgw?e=jJiFxh"" UPN - ICS2 Consol – Forwarder Manifest, extend synchronizer for Declarant, Carrier.docx        ",major,New or updated regulatory framework,,,EU ICS2,"Declarant, Carrier as Related Parties on Organization"
WI00881583,CLS,TW - Fix RAP/ROR,11-03-2025 23:12,Publish UPN,CLS,10-04-2025,Publish Update Note,DEP,35.2,"https://wisetechglobal.sharepoint.com/:w:/r/sites/DevelopmentCustomsTeam/Shared%20Documents/JP%20CN%20TW/TW/Work%20Items/WI00881583%20-%20TW%20-%20Fix%20RAPROR/WI00881583%20-%20TW%20-%20Fix%20RAPROR.docx?d=wbd28ddd5e37b465c96bf4ed53a8479fa&csf=1&web=1&e=YFej5Z      SCN 08-Apr-25 15:26 GMT+08:00:   UPN : HYPERLINK ""edient:Command=ShowStorageDoc&BusinessEntityPK=77fe32b6-309b-460f-b40e-419a45d9118f&StorageDocPK=f668976b-0538-4cd0-b4d9-799af7900765&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2bvM%2fHaxWRF%2bcznFdi2EKualL%2bNm0PahSl""  File TWUPN - RAP ROR Adjustment- ZH-TW.docx (Update Notes)",minor,Bugfix or defect correction,,,TW,Fix RAP/ROR
WI00900348,CLS,[QTN][OOQ] Migration of E-mail Acceptance to NEO,23-04-2025 3:22,Publish,CLS,17-10-2025,Publish Update Note,DEP,61.03333333,"Done Statement  Supporting Quotation Acceptance in NEO by Client via Email      Reason For change(To explain Why)  E-mail acceptance of One Off Quote or Quotation have leveraged WebTracker platform which to be retired and to be replaced by NEO that both of the e-mail acceptance functionalities need to be migrated to NEO.    Relevant eLearning:  https://wisetechacademy.com/search?quickstart=b8cb9adf-4b36-4531-bc0f-603011f66c47  https://wisetechacademy.com/search?quickstart=12632120-a0ce-44d3-8244-1d9d229ed0be    ODL 30-Apr-25 11:25 GMT+10:00: According to Sarah, this needs to be in DPR by June. I'm guessing this means ... 11th of June?      What has been done (Technical Prespective)  I kept the existing logic to go through the WebTracker as is still working and hasn't retired yet.   But when WebTracker is retired and clients moved on using NEO instead, the new hyperlink will be generated for NEO instead of WebTracker.  Then in this way we don't need to make any change in the email/document we generate currently.    GIVEN   Neo Hyperlinks is enabled => GlowRegistry.Instance.NeoEnableHyperlinksInDocumentMacros is true   Neo is enabled => LicenceFeatureCodeList.Codes.NeoFeature in Feature Control Manager  THEN   System will create NEO url based on the provided Alias and Glow Portals Root Url & the Business Object PK    I added the new CW1 Web Api to execute the logic of receiveing reply from the client and then send a notification email.  This Api will be called from a Coded Form Flow in Glow  And the Coded Form Flow is used in 2 separate Form Flows  Form Flow with alias ""TrackingQuoteClientReplyAccept"" to Accept the quote  Form Flow with alias ""TrackingQuoteClientReplyNotAccept"" for Request Further Discussion      PAI 05-Jun-25 11:38 GMT+10:00:   Functional Review Document:  In this WI we support Client Quotation Acceptance via email through NEO.  The exisitng logic in WebTracker is still working till the WebTracker is officially retiered.    Client is still receiving the same email/document and they can see 2 hyperlinks in it. But the link is pointing to Neo instead of WebTracker.    The new proposed hyperlink to NEO would look like the below  To Accept:  https://GlowPortal/goto/TrackingQuoteClientReplyAccept?entityPK={quotePK}  To Request Further Discussion:  https://GlowPortal/goto/TrackingQuoteClientReplyNotAccept?entityPK={quotePK}    For the hyperlinks to Neo the following registry item has to be enabled (the registry is disabled by default)  Glow > Neo > Enable Neo Hyperlinks in Document and Report Macros    The same logic will be run in the backround and user will be notified by email that the client clicked either of the links.  ",,,,,[QTN][OOQ] Migration of E,mail Acceptance to NEO
WI00877197,CLS,Addition of Original Invoice Details to e-Invoice XML for Return of Purchase Inv,03-03-2025 10:04,Publish UPN,CLS,26-03-2025,Publish Update Note,DEP,16.31666667,"A25 03-Mar-25 13:11 GMT+03:00:    The Turkish Revenue Administration has introduced some changes to the e-invoice rules, one of which requires adding the original invoice details for the return of purchase invoices.  When posting a return of a purchase invoice, certain information from the original sales invoice must be included in the XML; otherwise, an error will occur. This enhancement will take effect on March 28, 2025.    According to the Schematron file, when the invoice type is TEVKIFATIADE or IADE, the cac:BillingReference field must be included in the XML. Additionally, it should contain cac:InvoiceDocumentReference/cbc:DocumentTypeCode = IADE to comply with the requirements.      PR:  https://devops.wisetechglobal.com/wtg/CargoWise/_git/Dev/pullrequest/318485    DFR:  HYPERLINK ""edient:Command=ShowStorageDoc&BusinessEntityPK=170ec856-1ac4-4920-972c-1e17698ebe50&StorageDocPK=d3580b73-8429-4b4f-8082-2c4b5758062c&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2boV3atxCO81QleE6qNeXgTM0FUsgmByoD"" BD 13-Mar-25 17:26:  File WI00877197 - Developer Functional Review.docx (Internal Correspondence)",major,New or updated regulatory framework,,,Addition of Original Invoice Details to e,Invoice XML for Return of Purchase Inv
WI00839519,CLS,TW [CUS][FUN] Import Customs - OFT charge is required,05-12-2024 9:05,Publish,CLS,20-12-2024,Publish Update Note,DEP,4.583333333,"SCN 05-Dec-24 17:05 GMT+08:00:   HYPERLINK ""edient:Command=ShowEditForm&ControllerID=SupportIncident&BusinessEntityPK=8781c2dd-f50e-4333-9ce9-e9ac783f359b&VersionNumber=24.12.5.46&Domain=wtg.zone&Instance=ediProd&Hash=%2bBkvEX1kRfq3CNHk0SACjPQbAwJfgplE6"" CS01757881 - DHLGLOBNJ - Logic around OFT charges when EXW or FOB incoterms are selected.    SCN 05-Dec-24 17:25 GMT+08:00:   spec : https://wisetechglobal.sharepoint.com/:w:/r/sites/DevelopmentCustomsTeam/Shared%20Documents/JP%20CN%20TW/TW/Work%20Items/WI00839519%20-%20TW%20%5BCUS%5D%5BFUN%5D%20Import%20Customs%20-%20OFT%20charge%20is%20required/WI00839519%20-%20TW%20%5BCUS%5D%5BFUN%5D%20Import%20Customs%20-%20OFT%20charge%20is%20required.docx?d=wc43b8f074eea417daf0235e52bf93d25&csf=1&web=1&e=XPCLFZ    SCN 19-Dec-24 10:28 GMT+08:00:   UPN : HYPERLINK ""edient:Command=ShowStorageDoc&BusinessEntityPK=a5c183fa-7f86-4f80-960e-bd1e77534d0d&StorageDocPK=8836300a-fcad-4834-98e6-4d7a109b1a77&Hash=%2b74h2R0nqIDhfVEYwcabUGtzf9i0Q9suw&Domain=wtg.zone&Instance=ediProd"" File TWUPN - Add OFT validation for Import Declaration - ZH-TW.docx (Update Notes)",,,,,TW [CUS][FUN] Import Customs,OFT charge is required
WI00864394,CLS,PTRS| Display calculated metrics in summary screen (End-to-End testing and UPN),05-02-2025 3:47,Publish,CLS,07-07-2025,Publish Update Note,DEP,50.8,"THIS IS THE LAST WI FOR THE PROJECT, WE CONDUCTED END-TO-END TESTS AND FINALISED UPN IN THIS WI  DONE Statements:  DONE= Update Note is published (see eDocs)  DONE= The feature is end to end tested    Done statement of this WI itself: Display calculated metrics on TCP and PTS summary screen    Refer to HYPERLINK ""https://svc-ediprod.wtg.zone/Services/link/ShowEditForm/WorkItem/e8a0a2b1-e348-4d06-ab6e-dfdd8aa46d45?lang=en-gb"" WI00860939 - PTRS| Australian (AU) Payment Times Reporting Scheme (PTRS) 2024 - Milstone 1 for investigation and HLD  All Development work to support the new PTRS in Milestone 1 needs to be patched to GP1      ",,,,,PTRS| Display calculated metrics in summary screen (End,to-End testing and UPN)
WI00870174,CLS,TW [NX101] Document - Certification of Origin_Application_19,17-02-2025 4:46,Publish,CLS,17-03-2025,Publish Update Note,DEP,4.116666667,"https://web.customs.gov.tw/singlehtml/698?cntId=e5ad59b0b11243819cf12b4cb9d1abea    SCN 19-Feb-25 14:47 GMT+08:00:   spec : https://wisetechglobal.sharepoint.com/:w:/r/sites/DevelopmentCustomsTeam/Shared%20Documents/JP%20CN%20TW/TW/Work%20Items/WI00870174%20-%20TW%20%5BNX101%5D%20Document%20-%20Certification%20of%20Origin_Application_19/WI00870174%20-%20TW%20%5BNX101%5D%20Document%20-%20Certification%20of%20Origin_Application_19.docx?d=we56e4ac62fd947a1a3bd8e255e2d4b3c&csf=1&web=1&e=Xe72vi    MXE 21-Feb-25 14:51 GMT+08:00:   Refer to HYPERLINK ""https://svc-ediprod.wtg.zone/Services/link/ShowEditForm/NewWorkItem/9140ee13-f830-429a-98fa-955769018d50"" WI00691577 - [NX101][P3] Certificate of Origin_Certificate (11-Guatemala)    SCN 13-Mar-25 16:04 GMT+08:00:   UPN : HYPERLINK ""edient:Command=ShowStorageDoc&BusinessEntityPK=54aa0a30-a416-40bf-ac2e-071000dfcd25&StorageDocPK=4217b676-3d65-44ed-aed8-d310281c82f3&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2bA8IbXlmLy5WQTLGQQdthhA6IYZ%2brB2kZ"" File WI00870174 - TW [NX101] Document - Certification of Origin_Application_19.docx (Update Notes)",,,,,TW [NX101] Document,Certification of Origin_Application_19
WI00832922,CLS,eTail V2 Stop user from creating export stand alone dec when CLR,20-11-2024 22:25,Publish,CLS,09-12-2024,Publish Update Note,DEP,5.516666667,"QG 27-Nov-24 15:44 GMT+08:00:   The HLD is not clear enough thus makes DDB improper: with the change in DDB, user will not be able to create import declaration when explore status is cleared, which doesn't make sense in business.  We should consider the two declarations separately.    J01 27-Nov-24 16:22 GMT+11:00:   DDB:  In ConvertToStandAloneDeclarationHelper.cs, add     else if (consignment.HVC_ReleaseStatus == HVLVReleaseStatus.Cleared || consignment.HVC_ExportReleaseStatus == HVLVReleaseStatus.Cleared)  {   Globals.Message.ShowError(ResString.GetMultilingualString(""cfd0998b-b16f-4726-8b52-00d3cf079805"", ""A Standalone Declaration cannot be created for a Consignment with Release Status as 'Cleared'""));  }      QL 21-Nov-24 09:04 GMT+11:00:     BACKGROUND: we allowed users to create multiple stand alone declarations in HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=29ec6363-bc0a-418b-a1e9-624b0b3d3aa9&VersionNumber=24.11.21.101&Domain=wtg.zone&Instance=ediProd&Hash=%2b0hQh1CzxE0UP5gmmlP7rPQkVhLCOeZ1U"" WI00710085 - eTail V2 Stand alone declaration per company. When creating export stand alone declaration, it seems like we are not stopping users from creating declaration when Consignment is having export release status (HVC_ExportReleaseStatus) of 'CLR'. As we have this validation when creating import declaration, we should do the same for export.     DONE: stop users from creating export stand alone declaration when export release status (HVC_ExportReleaseStatus) = CLR    UPN draft created for HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=29ec6363-bc0a-418b-a1e9-624b0b3d3aa9&VersionNumber=24.11.21.101&Domain=wtg.zone&Instance=ediProd&Hash=%2b0hQh1CzxE0UP5gmmlP7rPQkVhLCOeZ1U"" WI00710085 - eTail V2 Stand alone declaration per company is saved in eDocs. Add extra screenshots once this WI is done and release UPN in this WI.    ",,,,,eTail V2 Stop user from creating export stand alone dec when CLR,
WI00830739,CLS,ZA - DA 306 Low Declaration - Move document location,15-11-2024 3:14,Publish,CLS,20-12-2024,Publish Update Note,DEP,33.46666667,J01 29-Nov-24 13:30 GMT+11:00:   DDB:  https://devops.wisetechglobal.com/wtg/CargoWise/_git/Dev/pullrequest/292760?_a=files    NKG 15-Nov-24 14:12 GMT+11:00:   BACKGROUND: we are displaying the new DA 306 document generation action under Documents tab. We should have in under HVLV tab.    DONE: we moved the new DA 306 from Documents tab to HVLV tab.,,,,,ZA,DA 306 Low Declaration - Move document location
WI00875956,CLS,CPW: Remove feature flag + UPN,27-02-2025 23:08,Publish,CLS,24-03-2025,Publish Update Note,DEP,25.7,"BWD 03-Mar-25 11:11 GMT+11:00:  DONE Statements  DONE: Remove the ""Code"" field from the search screen and form - it should remain in the database  DONE: Remove the ""Code"" from the ""Recent Items"" section. For example: ""AU-EXP-CITES - CITES"" becomes ""AU-EXP - CITES""  DONE: Include the ""Description"" field in the search screen. It does not need to be searchable using filters.  DONE: Remove the ""Publish Year"" from the search screen and form. Also remove from the DB schema?  DONE: Release the ""Compliance Lists (Commodities)"" functionality to all customers by removing the ""Commodity Compliance Lists"" Feature Flag.  DONE: Release an Update Note with all the changes included.    M87 10-Mar-25 22:05 GMT+08:00:   Re: DONE: Remove the ""Publish Year"" from the search screen and form. Also remove from the DB schema?  A: Cannot remove from the DB schema. There is a dummy value in DB.",major,New or updated regulatory framework,CPW,ComplianceWise,Remove feature flag + UPN,
WI00892159,CLS,Shape notes are copied in NCN Universal Copy,03-04-2025 0:03,Publish Update Note,CLS,10-09-2025,Publish Update Note,CBC,15.86666667,"JR7 03-Apr-25 11:08 GMT+11:00:   HLD: HYPERLINK ""https://wisetechglobal-my.sharepoint.com/:w:/p/jon_reilly/Ee8CvuUD0oBEv6TetkzH2wIBqRJKn5JRS3w7Bzak-OhClg?e=f3eISb"" HLD.docx    KNB 15-Apr-25 11:46 GMT+10:00:   Let's proceed with Option 2 as recommended. If the technical design of the system does not support Option 2, then use Option 1.    JR7 02-May-25 11:32 GMT+10:00:   DBD: HYPERLINK ""https://wisetechglobal-my.sharepoint.com/:w:/p/jon_reilly/EXHOB-uPNuBAnzodS0m45yMBhmaKdIquggTTIEDtY6vMJw?e=wgHxcB"" DBD.docx    JR7 09-May-25 16:16 GMT+10:00:   The HLD originally only specified that we would enable ""shape notes"" as a property on UC template. However, since we created the technical design we discovered that there are a lot of other properties that should show up in the UC template for NCN shapes that do not! It is very easy technically to enable these all as properties, so I have expanded the scope of this WI to do that.  The other properties that we now have include:  Is Positioned  Left (distance shape is from left of diagram)  Top (distance shape is from top of diagram)  Width  Height  Z Index (The 'layer' the shape is in -defines which shapes it is behind/in front of)  Scroll Position  Background Color  Foreground Colour  Corner radius  Job Name  Shape Notes  Is Read Only  Is Pinned  Active  Display Completeness Indicator  Should Syncronise Schedule With Linked Entity  Buffer Type  Is Non Schedules  Shape Inspector Visible    I see no harm in adding all of these since if the user does not need one, they can simply not use it! Furthermore, I assume most users will not be creating their own copy templates but rather use existing published ones that we create and maintain",,,,,Shape notes are copied in NCN Universal Copy,
